Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,Prep Total,Year 1 Total,Year 2 Total,Year 3 Total,Year 4 Total,Year 5 Total,Year 6 Total,Primary Ungraded Total,Primary Total,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Ungraded Total,Secondary Total,Grand Total,Year,CENSUS_TYPE
Catholic,2,1108,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,13.0,19.0,23.0,11.0,25.0,27.0,44.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,2024,F
Catholic,2,1109,St John's School,Primary,O,SOUTH-WESTERN VICTORIA,Warrnambool (C),Wimmera South West,45.0,45.0,39.0,34.0,28.0,26.0,37.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,2024,F
Catholic,2,1122,St Brigid's College,Secondary,O,SOUTH-WESTERN VICTORIA,Horsham (RC),Wimmera South West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,46.0,55.0,34.0,29.0,27.0,0.0,228.0,228.0,2024,F
Catholic,2,1134,St Joan of Arc School,Primary,O,SOUTH-EASTERN VICTORIA,Bayside (C),Bayside Peninsula,54.0,56.0,62.0,56.0,65.0,42.0,51.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,2024,F
Catholic,2,1136,St John's School,Primary,O,NORTH-EASTERN VICTORIA,Strathbogie (S),Goulburn,26.0,25.0,24.0,28.0,26.0,32.0,25.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,2024,F
Catholic,2,1146,St John's School,Primary,O,SOUTH-WESTERN VICTORIA,Maribyrnong (C),Western Melbourne,40.0,38.0,36.0,34.0,40.0,29.0,25.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,2024,F
Catholic,2,1152,St Joseph's School,Primary,O,NORTH-EASTERN VICTORIA,Moira (S),Goulburn,30.0,55.0,41.0,47.0,33.0,51.0,41.4,0.0,298.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.4,2024,F
Catholic,2,1164,Mary Immaculate School,Primary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,20.0,15.0,17.0,13.0,15.0,10.0,13.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2024,F
Catholic,2,1173,St Joseph's School,Primary,O,NORTH-EASTERN VICTORIA,Strathbogie (S),Goulburn,7.0,3.0,9.0,7.0,6.0,4.0,3.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2024,F
Catholic,2,1176,Our Lady of Lourdes School,Primary,O,SOUTH-EASTERN VICTORIA,Stonnington (C),Bayside Peninsula,25.0,22.0,39.0,15.0,25.0,20.0,14.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,2024,F
Catholic,2,1177,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,East Gippsland (S),Outer Gippsland,4.0,3.0,2.0,6.0,0.0,2.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2024,F
Catholic,2,1188,St Mary's School,Primary,O,NORTH-EASTERN VICTORIA,Alpine (S),Ovens Murray,16.0,19.0,17.0,14.0,14.0,29.0,16.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,2024,F
